epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.6031,1.13269,3.40543,1.47921,0.005,1,0.07497,0.03158,1.17189,3.71601,1.64965,0.00013336,0.00013336,0.00013336
2,85.9218,0.86098,2.97583,1.27238,0.00418,0.44444,0.17359,0.09749,1.37023,3.64574,1.80561,0.000255334,0.000255334,0.000255334
3,122.073,0.79191,2.56536,1.2526,0.00451,0.44444,0.24705,0.15488,0.99579,3.45837,1.60839,0.000347603,0.000347603,0.000347603
4,157.43,0.79262,2.11339,1.22749,0.00591,0.5,0.21956,0.12054,1.56306,3.65562,2.3448,0.000410165,0.000410165,0.000410165
5,198.116,0.80859,1.88361,1.26225,0.00592,0.94444,0.17979,0.10157,1.37204,3.60361,1.84,0.000443022,0.000443022,0.000443022
6,241.982,0.86863,1.77275,1.25749,0.56922,0.44444,0.33681,0.23841,1.14533,3.18726,1.74606,0.000446173,0.000446173,0.000446173
7,284.143,0.75718,1.58625,1.19636,0.7028,0.16667,0.14865,0.07795,1.72502,3.65766,2.28293,0.000419617,0.000419617,0.000419617
8,326.613,0.79245,1.67918,1.22992,0.75369,0.16667,0.15673,0.09264,1.56281,3.52048,1.97396,0.000363356,0.000363356,0.000363356
9,370.552,0.78027,1.51431,1.21996,0.77504,0.22222,0.2248,0.12625,1.3943,3.18742,1.74622,0.000277389,0.000277389,0.000277389
10,412.291,0.70305,1.41158,1.1619,0.78835,0.2277,0.24253,0.1288,1.59978,3.20076,1.8806,0.000161716,0.000161716,0.000161716
